UID,NERC,Region,Start,End,Center,Center_DOY,T_Max_Min,Duration,Regions_Impacted
HW_NERC3_Event53,3,FL,2002-07-16,2002-07-16,2002-07-16,197,93.9,1,4.0
HW_NERC3_Event54,3,FL,2002-07-18,2002-07-18,2002-07-18,199,93.59,1,6.0
HW_NERC3_Event55,3,FL,2002-08-24,2002-08-24,2002-08-24,236,93.55,1,2.0
HW_NERC3_Event56,3,FL,2004-05-30,2004-05-31,2004-05-30,151,94.15,2,1.0
HW_NERC3_Event57,3,FL,2004-06-12,2004-06-12,2004-06-12,164,93.85,1,1.0
HW_NERC3_Event58,3,FL,2004-06-19,2004-06-19,2004-06-19,171,93.86,1,1.0
HW_NERC3_Event59,3,FL,2004-06-24,2004-06-27,2004-06-25,177,94.91,4,1.0
HW_NERC3_Event60,3,FL,2004-07-04,2004-07-11,2004-07-07,189,96.81,8,1.0
HW_NERC3_Event61,3,FL,2004-07-23,2004-07-23,2004-07-23,205,94.04,1,2.0
HW_NERC3_Event62,3,FL,2005-07-27,2005-07-27,2005-07-27,208,93.53,1,6.0
HW_NERC3_Event63,3,FL,2005-08-17,2005-08-21,2005-08-19,231,94.7,5,2.0
HW_NERC3_Event64,3,FL,2006-08-02,2006-08-03,2006-08-02,214,93.92,2,6.0
HW_NERC3_Event65,3,FL,2006-08-09,2006-08-11,2006-08-10,222,94.08,3,4.0
HW_NERC3_Event66,3,FL,2007-07-10,2007-07-10,2007-07-10,191,93.98,1,5.0
HW_NERC3_Event67,3,FL,2007-07-19,2007-07-19,2007-07-19,200,93.78,1,2.0
HW_NERC3_Event68,3,FL,2007-08-19,2007-08-22,2007-08-20,232,95.19,4,1.0
HW_NERC3_Event69,3,FL,2008-08-06,2008-08-06,2008-08-06,219,93.73,1,3.0
HW_NERC3_Event70,3,FL,2009-06-21,2009-06-22,2009-06-21,172,94.51,2,2.0
HW_NERC3_Event71,3,FL,2010-06-11,2010-06-17,2010-06-14,165,94.62,7,1.0
HW_NERC3_Event72,3,FL,2010-06-22,2010-06-27,2010-06-24,175,95.86,6,4.0
HW_NERC3_Event73,3,FL,2010-07-08,2010-07-09,2010-07-08,189,94.62,2,6.0
HW_NERC3_Event74,3,FL,2010-07-18,2010-08-01,2010-07-25,206,96.68,15,5.0
